نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اسياتك,انتقال داده هاي آسياتك,65915,120423196,1783454004750,14170,14860,14870,700,4.94,14810,640,4.52,14210,14870
ددانا,داروسازي دانا,20190,2152023,84897307350,37250,39450,39450,2200,5.91,39450,2200,5.91,39450,39450
سآبيك,سيمان آبيك,17714,25033959,390780099990,14870,15610,15610,740,4.98,15610,740,4.98,15610,15610
شپنا,پالايش نفت اصفهان,17224,323775903,2190683218210,6470,6530,6850,380,5.87,6770,300,4.64,6480,6850
پالايش,صندوق پالايشي يكم-سهام,16491,19469131,1513389465850,76710,76500,78500,1790,2.33,77730,1020,1.33,76400,79100
شستا,سرمايه گذاري تامين اجتماعي,16413,877161322,890485719543,1013,1017,1014,1,0.1,1015,2,0.2,1007,1040
كرمان,س. توسعه و عمران استان كرمان,12716,560957300,591553095777,1005,1035,1065,60,5.97,1055,50,4.98,1026,1065
خودرو,ايران‌ خودرو,10399,372740237,843135068377,2257,2278,2275,18,0.8,2262,5,0.22,2237,2295
فولاد,فولاد مباركه اصفهان,10114,83136147,1006676062960,12260,12260,12120,-140,-1.14,12110,-150,-1.22,11950,12280
فزر,پويا زركان آق دره,9547,21655440,634408158400,30000,30350,28750,-1250,-4.17,29300,-700,-2.33,28400,30700
وخارزم,سرمايه گذاري خوارزمي,9455,211813127,1115074059190,4980,5270,5270,290,5.82,5260,280,5.62,5160,5270
قثابت,قند ثابت‌ خراسان‌,8278,166204615,558489203254,3252,3310,3240,-12,-0.37,3360,108,3.32,3190,3414
افرا,افرانت,7796,19527270,656538695700,35150,33400,33700,-1450,-4.13,33600,-1550,-4.41,33400,34650
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,7705,168397215,642716615920,3804,3850,3841,37,0.97,3817,13,0.34,3750,3890
كدما,معدني‌ دماوند,7593,5341207,472045810010,91770,89100,87300,-4470,-4.87,88380,-3390,-3.69,87190,93500
شتران,پالايش نفت تهران,7564,109287036,599905230730,5390,5400,5530,140,2.6,5490,100,1.86,5370,5620
ثرود,سرمايه‌گذاري مسكن زاينده رود,7518,47968232,553637701390,11690,10990,11850,160,1.37,11540,-150,-1.28,10990,12350
دارا يكم,صندوق واسطه گري مالي يكم-سهام,7489,5084637,589019207290,115300,115400,116580,1280,1.11,115840,540,0.47,115130,116650
مديريت,س. و خدمات مديريت صند. ب كشوري,7426,55201530,525656596760,9050,9110,9590,540,5.97,9520,470,5.19,8700,9590
حكشتي,كشتيراني جمهوري اسلامي ايران,7419,56558716,1297376112720,22070,22190,23170,1100,4.98,22940,870,3.94,22130,23170
